Occurence Nature condition,,Report,Occurence Nature condition,prediction
FLUID LOSS                ,6892,"['aircraft', 'grounded', 'pungent', 'smell', 'cabin', 'cockpit', 'packs', 'powered', 'apu', 'bleed', 'maintenance', 'accomplished', 'task', 'cards', '26l0021001', '26l00021002', 'found', 'oil', 'coking', 'apu', 'lower', 'compressor', 'screen', 'ran', 'engines', '10', 'minutes', 'left', 'right', 'packs', 'odor', 'smelled', 'cabin', 'flight', 'deck', 'placed', 'apu', 'mel', 'troubleshooting', 'supplemental', 'report', 'submitted', 'open']",FLUID LOSS                ,SMOKE/FUMES/ODORS/SPARKS  
WARNING INDICATION        ,11441,"['left', 'pack', 'light', 'illuminated', 'climb', '18500', 'unable', 'reset', 'second', 'time', 'grounded', 'yes', 'performed', 'bite', 'check', 'lh', 'pack', 'zone', 'temp', 'controller', 'performed', 'ops', 'chk', 'lh', 'pack', 'w', 'faults', 'noted', 'replaced', 'discharge', 'oh', 'switch', 'per', 'b737800', 'amm', '215142', 'turbine', 'inlet', 'oh', 'switch', 'per', 'amm', '215141', 'comp', 'discharge', 'oh', 'switch', 'per', 'amm', '215140', 'ops', 'chk', 'normal', 'etops', 'gnd', 'verification', 'successful', 'ac', 'ok', 'svc', 'seamc', 'jeremy', 'notified', 'non', 'asa', 'tsah74m']",WARNING INDICATION        ,FALSE WARNING             
OTHER                     ,63025,"['right', 'fmc', 'button', '5', 'left', 'hard', 'press', 'required', 'multiple', 'presses', 'function', 'grounded', 'yes', 'removed', 'replaced', 'rh', 'fmcs', 'cdu', 'keyboard', 'ops', 'check', 'good', 'ref', 'b737900', 'amm', '34601201']",OTHER                     ,MULTIPLE FAILURE          
OTHER                     ,72296,"['sta', '1640', 's14', 'right', 'hand', 'side', 'lower', 'outboard', 'hole', 'rejectable', 'crack', 'indication', 'frame', 'web', 'layer', 'fuselage', 'mainframe', 'inspection', 'body', 'station', '1640', 'fuselage', 'frame', 'web', 'stringer', 's14r', 'boeing', 'alert', 'service', 'bulletin', '75753a0112', 'lower', 'outboard', 'hole', 'crack', 'repiar', 'accomplished', 'per', 'ea', 'f5310t0369609', 'steps', '19', 'deviation', 'major', 'repair']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,53744,"['aircraft', 'grounded', 'slide', 'arming', 'lever', 'door', '4l', 'difficult', 'operate', 'adjusted', 'door', 'shroud', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm251100']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,61387,"['aircraft', 'base', 'maintenance', 'corrosion', 'aft', 'cargo', 'compartment', 'left', 'hand', 'transition', 'panel', 'located', 'bs', '767', 'bs', '747', 's25l', 'replaced', 'transition', 'panel', 'per', 'aard', '5100051']",OTHER                     ,NO TEST                   
FALSE WARNING             ,56979,"['aircraft', 'grounded', 'lavatory', 'smoke', 'indication', 'light', 'oral', 'warning', 'aft', 'left', 'lavatory', 'smoke', 'fire', 'detective', 'flight', 'attendant', 'operations', 'checked', 'aftleft', 'lavatory', 'smoke', 'detector', 'per', 'b737', 'amm', '261400710802', 'fault', 'found']",FALSE WARNING             ,FLAME/FIRE                
AFFECT SYSTEMS            ,74018,"['discrepancy', 'r', 'gen', 'failed', 'taxicorrective', 'action', 'removed', 'replaced', 'r', 'idg', 'iaw', 'amm', '241101', 'ops', 'check', 'leak', 'check', 'ok']",AFFECT SYSTEMS            ,MULTIPLE FAILURE          
OTHER                     ,78147,"['aft', 'service', 'door', 'lower', 'beam', 'corrosion', 'around', 'fwd', 'aft', 'girt', 'bar', 'fittings', 'removed', 'replaced', 'aft', 'service', 'door', 'lower', 'beam', 'ref', 'srm', '514008']",OTHER                     ,F.O.D.                    
OTHER                     ,9205,"['aircraft', 'base', 'maintenance', 'corrosion', 'fwd', 'outbd', 'upper', 'splice', 'lh', 'outbd', 'seat', 'track', 'replaced', 'coupling', 'new']",OTHER                     ,NO TEST                   
NO TEST                   ,55042,"['aircraft', 'grounded', 'left', 'hand', 'righthand', 'wing', 'emergency', 'lights', 'inoperative', 'original', 'report', 'aala202203259518', 'relamped', 'lefthand', 'wing', 'emergency', 'exit', 'lights', '60wl', '61wl', 'aala202203290817', 'also', 'relamped', 'righthand', 'wing', 'emergency', 'exit', 'lights', '62wl', 'aala202203290671', '63wl', 'aala202203296304', 'per', 'amm', '335115', 'satisfactory', 'operational', 'check', 'accomplish']",NO TEST                   ,OTHER                     
WARNING INDICATION        ,57123,"['aircraft', 'grounded', 'take', 'landing', 'gear', 'would', 'retract', 'lgciu', 'fault', '1', 'amp', '2', 'gear', 'down', 'emergency', 'declared', 'aircraft', 'returned', 'dfw', 'landed', 'safely', 'incident', 'supplemental', 'report', 'aala202206239359', 'replaced', 'landing', 'gear', 'normal', 'control', 'lever', 'per', 'amm', '323111', 'satisfactory', 'operational', 'check', 'accomplished', 'clos']",WARNING INDICATION        ,PARTIAL RPM/PWR LOSS      
OTHER                     ,5119,"['aircraft', 'grounded', 'exit', 'ceiling', 'mounted', 'light', 'hanging', 'door', '3l', 'needs', 'replacing', 'repaired', 'emergency', 'light', 'assembly', 'ref', 'aard200', '3551011']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,74105,"['eicas', 'msg', 'fire', 'overheat', 'sys', 'final', 'approach', 'ran', 'checklist', 'message', 'cleared', 'noted', 'msg', 'cleared', 'checklist', 'performed', 'fire', 'detection', 'test', 'ref', 'amm', '261100715001', 'rt', 'eng', 'oh', 'lpi', 'already', 'deferral', 'item', 'm768813', 'open']",WARNING INDICATION        ,FLAME/FIRE                
OVER TEMP                 ,66498,"['rt', 'eng', 'high', 'egt', 'take', 'off', 'max', 'egt', '737', 'seconds', 'duration', 'due', 'previous', 'history', 'egt', 'faults', 'positive', 'fix', 'unlocked', 'update', 'required', 'per', 'crew', 'throttles', 'pulled', 'back', 'right', 'engine', 'egt', 'debrief', 'crew', 'captain', 'stated', 'throttles', 'back', 'idle', 'indication', 'went', 'blank', 'eicas', 'stand', 'displays', '2', 'engine', 'egt', 'indication', 'upper', 'eicas', 'display', 'tomcmeredith', 'stby', 'engine', 'indication', 'blank', 'inspected', 'inlet', 'exhaust', 'obvious', 'defects', 'noted', 'replaced', 'w6', 'harness', '4', 'egt', 'probes', 'engine', '2', 'ran', 'engines', 'took', '2', 'engine', '90', 'n1', 'egt', '528', 'twice', 'faults', 'noted', 'egt', 'ind']",OVER TEMP                 ,SMOKE/FUMES/ODORS/SPARKS  
OTHER                     ,57255,"['aircraft', 'grounded', 'emergency', 'path', 'lights', 'seat', '10c', 'galley', 'off', 'removed', 'replaced', 'emergency', 'light', '10c', 'operations', 'check', 'norm']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,54929,"['aircraft', 'grounded', 'takeoff', 'gear', 'retraction', 'received', 'ecam', 'message', 'landing', 'gear', 'doors', 'closed', 'temporarily', 'message', 'disappeared', '2030', 'seconds', 'gear', 'cycled', 'unable', 'determine', 'door', 'open', 'supplemental', 'report', 'aala202203172406', 'replaced', '1', 'landing', 'gear', 'control', 'interface', 'unit', 'per', 'amm', '323171', 'nose', 'landing', 'gear', 'door', 'actuating', 'cylinder', 'per', 'amm', '321116', 'aala202203258849', 'satisfactory', 'operational', 'check', 'accomplished', 'clos']",WARNING INDICATION        ,FLT CONT AFFECTED         
OTHER                     ,39220,"['crack', 'emergency', 'light', 'lens', 'position', '57810', 'rt', 'side', 'passenger', 'cabin', '4', 'ea', '2021342343', '01', 'replaced', 'emergency', 'light', 'lens', 'position', '57810', 'rt', 'side', 'passenger', 'cabin', '4', 'ea', 'iaw', 'amm', '335103960801', 'step', '2d', '1', 'c', '02', 'replaced', 'emergency', 'light', 'lens', 'position', '57810', 'rt', 'side', 'passenger', 'cabin', '4', 'ea', 'iaw', 'amm', '335103960801', 'step', '2d', '1', 'c']",OTHER                     ,NO TEST                   
OTHER                     ,66305,"['per', 'crew', '7000', 'right', 'duct', 'leak', 'light', 'came', 'right', 'bleed', 'duct', 'leak', 'eicas', 'message', '14000', 'dumped', '10000', 'lbs', 'fuel', 'ran', 'checklist', 'fix', 'landed', 'roughly', '20000', 'lbs', 'overweight', 'p11', 'opened', 'reappears', 'closed', 'ran', 'fim', '2618', 'fault', 'tree', '804', 'block', '18', 'r', 'bld', 'duct', 'leak', 'eicas', 'message', 'rt', 'duct', 'leak', 'light', 'remain', 'on', 'replaced', 'reinstalled', 'original', 'duct', 'leak', 'circuit', 'card', 'm691', 'fireloop', 'connector', 'needs', 'safetying', 'cover', 'panel', 'rt', 'reference', 'lp', '8765540', 'overweight', 'landing', 'ref', 'wdm2618211', 'found', 'element', 'ts214', 'shorted', 'needs', 'replacement', 'secured', 'fire', 'loop', 'connectors', 'right', 'wheel', 'well', 'secured', 'p54', 'replaced', 'k693', 'relay', 'p37', 'checked', 'resistance', 'rt', 'wheelwell', 'ceiling', 'reinstal']",OTHER                     ,FLUID LOSS                
OTHER                     ,18839,"['ship', '3259', 'upon', 'landing', 'around', '85', 'kts', 'autobrakes', 'showed', 'fo', 'cant', 'remember', 'turned', 'came', 'off', 'around', '80', 'kts', 'tried', 'take', 'airplane', 'fo', 'soon', 'pressed', 'brakes', 'airplane', 'started', 'turning', 'left', 'difficult', 'control', 'decided', 'roll', 'end', 'exit', 'slowest', 'speed', 'possible', 'taxied', 'gate', 'approx', '1014', 'kts', 'upon', 'parking', 'told', 'loud', 'bang', 'people', 'couls', 'see', 'sparks', '3', 'tire', 'appears', 'locked', 'popped', 'associated', 'ecam', 'msg', 'brakes', 'auto', 'brk', 'fault', 'brakes', 'released', 'find', 'damage', 'wing', 'hydraulic', 'lines', 'tire', 'sit', 'rim', '4', 'tire', 'holding', 'gear', 'corrective', 'action', 'replaced', '4', 'wheel']",OTHER                     ,AFFECT SYSTEMS            
WARNING INDICATION        ,49572,"['climb', 'received', 'l', 'eng', 'fuel', 'filt', 'eicas', 'msg', 'complied', 'wqrh', 'proc', 'eng', 'indications', 'normal', 'assc', 'status', 'msg', 'receivedpremoved', 'replaced', 'l', 'engine', 'fuel', 'filter', 'elements', 'iaw', 'fim', '7311', 'ft', '803', '731102', 'faults', 'noted', 'leak', 'check', 'goodp']",WARNING INDICATION        ,FLUID LOSS                
OTHER                     ,87407,"['r1', 'emergency', 'exit', 'sign', 'slide', 'light', 'aisle', 'light', 'inop', '01', 'replaced', 'fwd', 'rt', 'emergency', 'light', 'battery', 'pack', 'm2816', 'ops', 'ck', 'ok', 'iaw', 'amm', '335100']",OTHER                     ,NO TEST                   
OTHER                     ,24714,"['inspection', 'typenaduring', 'preflt', 'left', 'entry', 'door', 'would', 'close', 'deferred', 'l1', 'door', 'per', 'mel', '52101201', 'dmp', 'cw', 'placard', 'installedtroubleshot', 'ref', 'fim', '521103', 'lock', 'release', 'solenoid', 'rrd', 'lock', 'release', 'solenoid', 'ref', 'amm', '521006', 'ops', 'check', 'good', 'm741465', 'clos']",OTHER                     ,AFFECT SYSTEMS            
OTHER                     ,21547,"['left', 'hand', 'wing', 'outboard', 'flap', 'assembly', 'inboard', 'forward', 'hinge', 'wing', 'side', 'inboard', 'actuator', 'hole', 'corrosion', 'corrosion', 'left', 'hand', 'wing', 'outboard', 'flap', 'assembly', 'inboard', 'forward', 'hinge', 'wing', 'side', 'inboard', 'actuator', 'hole', '8', 'hole', 'reworked', 'found', 'exceed', 'limit', 'per', 'md11', 'cmm', '574408', 'oversized', 'bushing', 'fabricated', 'machining', 'installed', 'per', 'md11', 'cmm', '574408', 'ea', '15750t0363974', 'part', '1', 'step', '1b', 'step', '1', 'title', 'wings', 'flight', 'surfaces', 'eo', '1575075002', 'lh', 'wing', 'outbd', 'flap', 'inbd', 'hinge', 'wing', 'side', 'corrosion', 'repair', 'repair', 'classified', 'minor', 'per', 'gmm', '62100']",OTHER                     ,INFLIGHT SEPARATION       
NO TEST                   ,73008,"['l1', 'door', 'interior', 'exit', 'lights', '34', 'lights', 'burned', 'out', 'removed', 'replaced', 'l1', 'door', 'interior', 'exit', 'light', 'sign', 'iaw', 'amm', '3351012', 'light', 'ops', 'checks', 'normal', 'acft', 'ok', 'servic']",NO TEST                   ,INADEQUATE Q C            
OTHER                     ,99499,"['fo', 'side', 'wing', 'window', 'exit', 'sign', 'cover', 'handle', 'stay', 'place01', 'installed', 'overwing', 'exit', 'cover', 'per', 'standard', 'industry', 'practices', 'ops', 'ck', 'good']",OTHER                     ,OVER TEMP                 
OTHER                     ,58402,"['aircraft', 'grounded', 'climb', 'cruise', 'twice', 'aircraft', 'abrupt', 'yaw', 'left', 'aircraft', 'autopilot', '1', 'supplemental', 'report', 'aala202207292549', 'maintenance', 'replaced', 'rudder', 'yaw', 'damper', 'servo', 'actuator', 'per', 'amm', '272651', 'replaced', 'rudder', 'trim', 'actuator', 'per', 'amm', '272251', 'aala202208233799', 'trouble', 'shooting', 'event', 'maintenance', 'also', 'found', '1', 'flight', 'augmentation', 'computer', 'fac', 'causing', 'rudder', 'trim', '1', 'fault', 'message', 'replaced', 'per', 'amm', '226634', 'aala202208235283', 'satisfactory', 'operational', 'check', 'accomplished', 'clos']",OTHER                     ,NO TEST                   
OTHER                     ,12450,"['corrosion', 'found', 'lav', 'vent', 'hole', 'doubler', 'repair', 'fr6870', 'amp', 'str', '30rh34rh', 'ref', 'lp', '3570424', 'ecra', '534101071', 'used', 'initial', 'pair', 'removed', 'existing', 'repair', 'installed', 'new', 'doubler', 'rpr', 'iaw', 'new', 'ecra', '533006822', 'dip', 'created', 'iaw', 'ecra', '533006822', 'requirements', 'accomplish', 'inspecti', 'requirements', 'iaw', 'part', '2', 'ecra', '533006822', 'acft', 'reaching', '62269', 'ttl', 'flt', 'cyc', 'current', 'acft', 'cycles', '32346', 'repair', 'accomplished', 'bqn', 'tech', '5h0883', 'amp', '5h0318', 'inspected', '5h0619', 'note', 'planning', 'contact', 'engineering', '57000', 'ttl', 'acft', 'cycles', '58000', 'ttl', 'flt', 'cycles', 'ecra', '533006822', 'part', '2', 'inspection', 'requirements', 'dip', 'created', 'iaw', 'ecra', '533006822', 'requirements', 'accomplish', 'inspecti', 'requirements', 'iaw', 'part']",OTHER                     ,INFLIGHT SEPARATION       
SMOKE/FUMES/ODORS/SPARKS  ,70349,"['intermittent', 'electrical', 'fumes', 'cabin', 'cockpit', 'cruise', 'flight', 'air', 'conditioner', 'aft', 'evaporator', 'blower', 'motor', 'overh']",SMOKE/FUMES/ODORS/SPARKS  ,OTHER                     
OTHER                     ,67711,"['crack', 'indication', 'frame', '35', 'lower', 'aft', 'open', 'fastener', 'hole', 'eleven', 'stgr30lh', 'crack', 'directions', '7', '11', 'oclock', 'fwd', 'cargo', 'compartment', '1', 'ea', 'see', 'aeroman', 'routine', '2022393517', '4750mm', 'hole', 'diameter', 'crack', 'removed', '9042mm', 'final', 'fwd', 'skin', 'angle', 'fitting', 'only', 'fr35', 's30lh', 'asper', 'engineering', 'aircraft', 'reaches', '93000', 'total', 'flight', 'cycles', 'requirements', 'part', '2a', 'latest', 'revision', 'ec', '531102898', 'aircraft', 'reaches', '44050', 'total', 'flight', 'cycles', '105319', 'aircraft', 'reaches', '44050', 'total', 'flight', 'cycles', '105319', 'freeze', 'plug', 'washer', 'material', '2024t351', 'po', '2022118566', 'hole', 'diameter', 'bushing', 'frame', 'layer', '7078m', 'measure', 'cutout', 'part', '2a', 'latest', 'rev']",OTHER                     ,INADEQUATE Q C            
WARNING INDICATION        ,62026,"['pilot', 'report06oct2022', 'wo', '1860682', 'bird', 'strike', 'eng', '1', 'eng', '1', 'stallactions', 'takennot', 'defined', 'yet', 'actions', 'taken', 'process']",WARNING INDICATION        ,F.O.D.                    
OTHER                     ,14116,"['take', 'roll', 'rwy', '9r', 'ord', 'ac', 'state', 'taxi', 'way', 'elec', 'test', 'test', 'ok', 'verified', 'runway', '9r', 'selectable', 'per', 'tomc', 'request', 'verified', 'following', 'information', 'correct', 'nav', 'egpwc', 'db', 'softwear', 'update', '624', 'egpwc', 'data', 'base', 'u772112001', 'installed', 'gps', 'coordinates', 'match', 'tests', 'ok', 'time', 'faults', 'shown', 'chapter', '31', '34', 'accomplished', 'wes', 'takeoff', 'config', 'warning', 'system', 'test', 'test', 'ok', 'accomplished', 'warning', 'system', 'software', 'engineer', 'tomc', 'verified', 'db', '624', 'update', 'ords', 'new', '9r', 'runway', 'extension', 'database', 'egpwc', 'tested', 'ok', 'new', 'sw', '624', 'installed', 'ref', 'log', 'page', '7620030', 'add', 'emp116790']",OTHER                     ,FALSE WARNING             
OTHER                     ,99363,"['aft', 'rh', 'aft', 'service', 'door', 'emergency', 'exit', 'exterior', 'light', 'inop01', 'relamp', 'aft', 'rh', 'aft', 'service', 'door', 'emergency', 'light', 'iaw', 'amm', '335104']",OTHER                     ,NO TEST                   
OTHER                     ,58510,"['aircraft', 'base', 'maintenance', 'r1', 'door', 'slide', 'girt', 'bar', 'engage', 'completely', 'floor', 'hooks', 'slide', 'moved', 'unarmed', 'armed', 'position', 'door', 'handle', 'moved', 'towards', 'open', 'position', 'maintenance', 'adjusted', 'girt', 'bar', 'fittings', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '521131', 'amm', '521100']",OTHER                     ,F.O.D.                    
WARNING INDICATION        ,60677,"['aircraft', 'grounded', 'door', 'slide', '1r', 'disarm', 'maintenance', 'replaced', '1r', 'door', 'proximity', 'switch', '5wn2', 'per', 'amm', '527311', 'accomplished', 'satisfactory', 'operational', 'check']",WARNING INDICATION        ,OTHER                     
WARNING INDICATION        ,73643,"['weather', 'radar', 'going', 'wxr', 'antenna', 'red', 'nd', 'loud', 'banging', 'noises', 'nose', 'aircraft', 'weather', 'radar', 'systems', 'weather', 'radar', 'systems', 'rr', 'radar', 'ant', 'assy', 'drive', 'ant', 'tru', 'iaw', 'amm', '344133', 'performed', 'bite', 'radar', '1', 'iaw', 'amm', '344100', 'defects', 'noted', 'ops', 'norm']",WARNING INDICATION        ,OTHER                     
OTHER                     ,738,"['flaps', 'fail', 'caution', 'takeoff', 'performed', 'flap', 'reset', 'procedure', 'iaw', 'awac', 'sup', '98018i', 'box', '12', 'flap', 'reset', 'placarded', 'placed', 'mel', 'aircraft', 'removed', 'service', 'found', 'rt', 'wing', 'brake', 'position', 'sensor', 'rig', 'rt', 'wing', 'position', '10', 'flex', 'drive', 'worn', 'rt', 'brake', 'position', 'sensor', 'rr', 'due', 'worn', 'threads', 'drive', 'rt', 'brake', 'rr', 'per', 'amm', '275110000801', 'rr', 'drive', 'position', '10', 'rt', 'wing', '275310000805', 'rerigged', 'rt', 'wing', 'brake', 'bpsu', 'per', 'amm275110830801', 'ops', 'test', 'flaps', 'per', 'amm', '275400710801removed', 'melremoved', 'placard', 'aircraft', 'ok', 'servic']",OTHER                     ,FLT CONT AFFECTED         
OTHER                     ,11085,"['1', 'engine', 'front', 'spinner', 'cone', 'missing', '50', 'coating', 'grounded', 'yes', 'removed', 'replaced', '1', 'engine', 'front', 'spinner', 'cone', 'ref', 'b737800', 'amm', '722101401']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,17024,"['ship', '3243', 'emergency', 'light', 'hanging', 'seat', '16d', 'broken', 'off', 'corrective', 'action', 'secured', 'light', 'assy', 'per', 'a320', 'amm', '3352', 'ok', 'service', '7821526']",OTHER                     ,NO TEST                   
ELECT. POWER LOSS-50 PC   ,61161,"['aircraft', 'grounded', 'climbing', 'thru', 'flight', 'level', '340', 'experienced', 'loss', 'electrical', 'power', 'started', 'apu', 'placed', 'apu', 'left', 'transfer', 'bus', 'flight', 'declared', 'emergency', 'returned', 'clt', 'landing', 'safely', 'maintenance', 'replaced', 'generator', 'control', 'units', '1', 'aala202212142024', '2', 'aala202212142315', 'per', 'amm', '242181', 'replaced', 'bus', 'tie', 'breakers', '1', 'aala202212145920', '2', 'aala202212145445', 'per', 'amm', '242141', 'accomplished', 'satisfactory', 'operational', 'checks', 'per', 'amm', '242100700803']",ELECT. POWER LOSS-50 PC   ,VIBRATION/BUFFET          
F.O.D.                    ,8478,"['aircraft', 'grounded', 'flight', 'crew', 'reported', 'multiple', 'bird', 'strikes', '1', 'engine', 'ingestion', 'followed', 'stall', 'roll', 'back', '1', 'engine', 'passengers', 'flight', 'attendants', 'reported', 'flames', 'back', 'engine', 'emergency', 'declared', 'aircraft', 'returned', 'dsm', 'landed', 'safely', 'taxied', 'gate', 'power', 'supplemental', 'report', 'submitted', 'open']",F.O.D.                    ,PARTIAL RPM/PWR LOSS      
WARNING INDICATION        ,56088,"['aircraft', 'grounded', 'emergency', 'power', 'supply', 'unit', '11wl', 'faults', 'noted', 'periodic', 'service', 'check', 'replaced', 'battery', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '335138']",WARNING INDICATION        ,NO TEST                   
OTHER                     ,15862,"['ship', '3254', 'remove', 'reinstall', 'aft', 'attach', 'fitting', 'sleeve', 'bolt', 'upper', 'position', 'lh', 'pylon', 'correction', 'actionreinstalled', 'pylon', 'wing', 'aft', 'attachfitting', 'bolt', 'sleeve', 'per', 'a320', 'fam', 'amm', '545117', '1767755']",OTHER                     ,SIGNIFICANT FAILURE REPORT
OTHER                     ,2713,"['aircraft', 'base', 'maintenance', 'found', 'migrated', 'fitting', 'upper', 'position', 'door', 'arm', '831', 'frame', '16', 'forward', 'galley', 'area', 'replaced', 'upper', 'supportarm', 'fitting', 'door', 'frame', '16', 'left', 'iaw', 'amm', '521131400002a', 'step', '4f']",OTHER                     ,NO TEST                   
NO TEST                   ,52087,"['flt', '2154', 'eywjfk', 'emer', 'lt', 'batt', 'fault', 'msg', 'appeared', 'power', 'intermittently', 'comes', 'rr', 'aft', 'rh', 'inbd', 'elpu', 'iaw', 'amm', '335001', 'fix', 'ref', 'lp', '31469831', 'continuation', 'rr', 'generic', 'io', 'module', 'mau', '3', 'iaw', 'amm', '314106', 'ops', 'chk', 'normal', 'fault', 'present', 'performed', 'ops', 'chk', 'emergency', 'light', 'sys', 'ref', 'amm', '335000']",NO TEST                   ,INFLIGHT SEPARATION       
OTHER                     ,8110,"['aircraft', 'base', 'maintenance', 'right', 'wing', 'outboard', 'trailing', 'edge', 'flap', 'area', 'disbond', 'replaced', 'flap', 'per', 'task', 'card', '26l00027009']",OTHER                     ,NO TEST                   
OTHER                     ,52961,"['right', 'engine', 'lower', 'translating', 'cowl', 'dent', 'outer', 'skin', 'aircraft', 'removed', 'service', 'found', 'limits', 'iaw', 'cmm', '783000', 'rev', '24', 'cleaned', 'dried', 'repair', 'area', 'common', 'dent', 'iaw', 'ea', 'awaccrj25401933', 'rev', 'ir', 'injected', 'structural', 'adhesive', 'open', 'honeycomb', 'cells', 'common', 'repair', 'area', 'iaw', 'ea', 'awaccrj25401933', 'rev', 'ir', 'performed', 'tap', 'test', 'iaw', 'ea', 'awaccrj25401933', 'rev', 'ir', 'defects', 'noted', 'restored', 'surface', 'finish', 'iaw', 'ea', 'awac', 'crj25401933', 'rev', 'ir']",OTHER                     ,F.O.D.                    
OTHER                     ,53039,"['aircraft', 'grounded', 'operation', 'check', 'l1', 'r4', 'door', 'slide', 'getting', 'cabin', 'intercommunication', 'data', 'system', 'fault', 'escape', 'slide', 'light', 'emergency', 'power', 'supply', 'unit', '13wl', 'aft', 'left', 'replaced', 'emergency', 'power', 'supply', 'unit', '13wl', 'per', 'job', 'card', '26c00033004', 'fix', 'replaced', 'slide', 'aala202201034260', 'per', 'job', 'card', '26l00025010', 'door', '4l', 'operations', 'check', 'good']",OTHER                     ,NO TEST                   
FALSE WARNING             ,7291,"['aircraft', 'grounded', 'first', 'class', 'lavatory', 'smoke', 'alarm', 'sounded', '5', 'min', 'checked', 'operation', 'forward', 'smoke', 'detector', 'per', '261400', 'faults', 'not']",FALSE WARNING             ,OTHER                     
WARNING INDICATION        ,4050,"['aircraft', 'grounded', 'rejected', 'takeoff', '84', 'kts', 'due', 'takeoff', 'configuration', 'warning', 'replaced', 'speed', 'break', 'takeoff', 'warning', 'switch', 'per', 'amm', '315103']",WARNING INDICATION        ,OTHER                     
OTHER                     ,55103,"['aircraft', 'grounded', 'found', 'seat', '11d', 'aft', 'emergency', 'light', 'lens', 'broken', 'removed', 'replaced', 'seat', '11d', 'aft', 'emergency', 'light', 'lens', 'assembly', 'operations', 'checks', 'good', 'per', 'amm', '335100']",OTHER                     ,NO TEST                   
SIGNIFICANT FAILURE REPORT,52624,"['copilot', 'windshield', 'cracked', 'fl', '410', 'divert', 'la']",SIGNIFICANT FAILURE REPORT,OTHER                     
OTHER                     ,6540,"['aircraft', 'base', 'maintenance', 'l4', 'door', 'sill', 'assembly', 'corrosion', 'upper', 'surface', 'aft', 'girt', 'bar', 'fitting', 'area', 'supplemental', 'report', 'aala202109173457', 'replaced', 'sill', 'per', 'srm', '517211', 'clos']",OTHER                     ,F.O.D.                    
OTHER                     ,13877,"['door', '1l', 'door', 'light', 'low', 'speed', 'abort', 'to', 'verified', 'door', 'latched', 'locked', 'request', 'mel', '1l', 'door', 'light', 'placed', '1l', 'door', 'light', 'indication', 'mel', 'indication', 'intermitent', 'tomc', 'approved', 'mel', '5203m', 'changer', '5203e', 'details', 'await']",OTHER                     ,NO WARNING INDICATION     
WARNING INDICATION        ,63994,"['ground', 'pakt', 'fmc', 'disagree', 'light', 'momentarily', 'illuminated', 'extinguished', 'qrh', 'checklist', 'referenced', 'also', 'ground', 'power', 'unit', 'pakt', 'faileddropped', 'offline', 'left', 'ac', 'electrically', 'unpowered', 'operating', 'battery', 'power', 'several', 'minutes', 'grounded', 'yes', 'accomplished', 'fmc', 'sensor', 'test', 'fmcs', 'show', 'ok', 'ref', 'b737800', 'amm', '346100026']",WARNING INDICATION        ,NO TEST                   
OTHER                     ,7670,"['aircraft', 'grounded', 'weather', 'radar', 'systems', 'inoperative', 'shortly', 'departure', 'crew', 'declared', 'emergency', 'air', 'interrupted', 'back', 'dfw', 'aircraft', 'overweight', 'landing', 'accomplished', 'fim', 'dmcb787a3440f2a8a421aa', 'cycled', 'circuit', 'breakers', 'issl', 'aala202111083541', 'issr', 'turned', 'weather', 'radar', 'left', 'right', 'operations', 'test', 'good']",OTHER                     ,FLT CONT AFFECTED         
OTHER                     ,59361,"['aircraft', 'base', 'maintenance', 'crack', 'passenger', 'cabin', 'floor', 'support', 'structure', 'break', 'assembly', 'located', 'bs', '540', 'bl', '0', 'rbl', '23', 'replaced', 'break', 'assembly', 'per', 'aard', '5100051']",OTHER                     ,NO TEST                   
OTHER                     ,89807,"['1', 'engine', '2', 'auto', 'aborted', 'engine', 'starts', 'engine', 'start', 'end', 'runway', 'unable', 'make', 'takeoff', 'power', 'taxied', 'runway', '01', 'accomplished', 'rii', 'inspection', 'per', 'mt', '773110002', 'removed', 'replaced', '1', 'engine', 'fuel', 'pump', 'hydromechanical', 'unit', 'ref', 'mt', '7731100']",OTHER                     ,PARTIAL RPM/PWR LOSS      
OTHER                     ,84622,"['emergency', 'lighting', 'battery', 'packs', 'fail', 'capacity', 'test', 'positions', 'm1675', 'm1669', 'm1672', '01', 'removed', 'replaced', 'emergency', 'lighting', 'battery', 'packs', 'positions', 'm1675', 'm1669', 'm1672', 'per', 'eng', 'dwg', '33500005', 'amm', '335106']",OTHER                     ,NO TEST                   
OTHER                     ,85729,"['fwd', 'emergency', 'light', 'section', 'interior', 'exterior', 'inop', 'fwd', 'emergency', 'light', 'section', 'interior', 'exterior', 'inop', 'emergency', 'lights', 'connected', 'm02816', 'm1675', 'power', 'supplies', 'affected', '01', 'rr', 'battery', 'packs', 'm02816', 'm1675', 'ref', 'amm', '335106']",OTHER                     ,NO TEST                   
